amount,year,spending_type,spending_source,gl,crd,donor,sub_vote_name,sub_vote_code,programme_name,programme_code,page,vote_name,vote_code,source
600000000,2013,estimates,local,Grant,D,Basket Fund,ADMINISTRATION AND HUMAN RESOURCES MGT,1001,Public Finance Mgt Reform Programme,6251,2,TREASURY REGISTRAR`S OFFICE,07,development
0,2011,actual,forex,Grant,D,Basket Fund,ADMINISTRATION AND HUMAN RESOURCES MGT,1001,Public Finance Mgt Reform Programme,6251,2,TREASURY REGISTRAR`S OFFICE,07,development
0,2011,actual,local,Grant,D,Basket Fund,ADMINISTRATION AND HUMAN RESOURCES MGT,1001,Public Finance Mgt Reform Programme,6251,2,TREASURY REGISTRAR`S OFFICE,07,development
0,2012,approved,local,Grant,D,Basket Fund,ADMINISTRATION AND HUMAN RESOURCES MGT,1001,Public Finance Mgt Reform Programme,6251,2,TREASURY REGISTRAR`S OFFICE,07,development
0,2012,approved,forex,Grant,D,Basket Fund,ADMINISTRATION AND HUMAN RESOURCES MGT,1001,Public Finance Mgt Reform Programme,6251,2,TREASURY REGISTRAR`S OFFICE,07,development
1065300000,2013,estimates,forex,Grant,D,Basket Fund,ADMINISTRATION AND HUMAN RESOURCES MGT,1001,Public Finance Mgt Reform Programme,6251,2,TREASURY REGISTRAR`S OFFICE,07,development
0,2013,estimates,local,Grant,D,DFID,ADMINISTRATION AND HR MANAGEMENT UNIT,1001,STACA,6310,4,FINANCIAL INTELLIGENCE UNIT,13,development
0,2011,actual,forex,Grant,D,DFID,ADMINISTRATION AND HR MANAGEMENT UNIT,1001,STACA,6310,4,FINANCIAL INTELLIGENCE UNIT,13,development
0,2011,actual,local,Grant,D,DFID,ADMINISTRATION AND HR MANAGEMENT UNIT,1001,STACA,6310,4,FINANCIAL INTELLIGENCE UNIT,13,development
0,2012,approved,local,Grant,D,DFID,ADMINISTRATION AND HR MANAGEMENT UNIT,1001,STACA,6310,4,FINANCIAL INTELLIGENCE UNIT,13,development
267800000,2012,approved,forex,Grant,D,DFID,ADMINISTRATION AND HR MANAGEMENT UNIT,1001,STACA,6310,4,FINANCIAL INTELLIGENCE UNIT,13,development
399685000,2013,estimates,forex,Grant,D,DFID,ADMINISTRATION AND HR MANAGEMENT UNIT,1001,STACA,6310,4,FINANCIAL INTELLIGENCE UNIT,13,development
0,2013,estimates,local,Grant,D,UNDP,CIVIL LITIGATION & ARBITRATION DIVISION,3001,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
89600000,2011,actual,forex,Grant,D,UNDP,CIVIL LITIGATION & ARBITRATION DIVISION,3001,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
0,2011,actual,local,Grant,D,UNDP,CIVIL LITIGATION & ARBITRATION DIVISION,3001,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
0,2012,approved,local,Grant,D,UNDP,CIVIL LITIGATION & ARBITRATION DIVISION,3001,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
0,2012,approved,forex,Grant,D,UNDP,CIVIL LITIGATION & ARBITRATION DIVISION,3001,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
0,2013,estimates,forex,Grant,D,UNDP,CIVIL LITIGATION & ARBITRATION DIVISION,3001,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
0,2013,estimates,local,Grant,D,UNDP,TREATIES AND CONTRACTS DIVISION,3002,UNDP Support Programme,6550,6,ATTORNEY GENERAL'S OFFICE,16,development
